check_stop,sentiment
alhamdulillah harap esok menurun angka positif,positive
keputusan pkp kecam keputusan tak pkp kecam problemnya tak rentas negeri salah rentas negeri salah kena menyesuaikan diri kena ikut bila diperketatkan mengeluh merungut complaint bila dilonggarkan abuse misuse kelonggaran pokok pangkalnya bukan pemimpin bukan kerajaan tapi ✌ kredit firdaus shakirin,negative
jadi sang juara adil negeri tumpang moga berkurang kes malaysia amin timasih,negative
frontliners hanya merawt mbantu tmampu kerajaan kkm mberitahu diikuti patuhi terserah rakyat tapi mohon diri keluarga jangan bebani btugas pesakit bdepan risiko wabak jangkiti bkurang petugas kesihatan mbantu tpaksa blipat kali ganda mohon berdoa semoga wabak bkurangan bulan ramadan muncul diizinkannya,negative
pkp kena kerja beza pkp duduk boleh merentas negeri kena kerja swab test kes turun banyak sektor boleh beroperasi tidak beza pkp,negative
alhamdulillah semoga kes sembuh kes baharu sntiasa 🤲 🤲,positive
kes angka 😔,negative
nama pkp kes tidak turun hanya menyusahkan setahun upl pkp sampai dunia kiamat,negative
rakyat letih ikut sop sepajang covid tiada meteri umun suruh solat hajat baca yassin suruh jaga jarak rumah ibadah 👍 🏻,negative
allahamdulil turun hilang pkp,positive
pkp maintain angka pkpb angka onn bukan pkp nama biaq 😆 😆 nampak gaya puasa raya duduk rumah raya len dibenarkan tak aihh terkawal,negative
alhamdulillah kes baru menurun semoga esok lusa bawah ribu,positive
selongor pasukan terbaik terunggul juara musim baru konsisten rentak hebat ditempat berpuas hati pingat gangsa akur pulang tanpa sebarang pingat dikedudukkan persembahan mantap berentap memburu piala pkp zero edisi chinese year dibolot pasukan pemain tempatan dibantu pemain import liga antarabangsa malaysia melonjak memintas pasukan croatia malaysia diranking dunia,neutral
mco zero gagal sepenuhnya kerajaan gagal,negative
pasal tidak boleh makan thaipusam pakkodaa,neutral
wow pm keluar kes turun mendadak petanda baik 😅,neutral
jadi pkp lama kes tidak turun lama tak kerja duit tak,negative
ramai sembuh vaksin kes baru suka melanggar sop ketentuan qadaq qadar jangan dilupakan jaga diri keluarga,neutral
perbezaan covid minyak tidak covid kejap naik kejap turun minyak naik tidak turun,negative
cases go,neutral
tahniah kementerian promosi cuti malaysia membawa perkembangan membanggakan,positive
inshaa beraya kes menurun berdoa jangan putus asa memakbulkan doa,positive
kes berkurang pemeriksaan berkurang 😁 😁 😁 😁,neutral
tidak payah pos kkm tinggi rakyat meluat layan,negative
good numbers still figure better really pity see frontliners working hard luckily not line see part time agent clients struggling everyone family overcome deepest condolences family lost loves ones pandemic 🙏 🏽,negative
pkp like pahit tapi pahit ubat,positive
muga kes baru menurun kes sembuh bertambah,positive
covid tak kiraan kes harian tak sampai dipaparkan,negative
angka bergini bapa kena peka tidak membawa anak sesak ramai duduk bawa pergi merata,negative
happy birthday corona virus covid genap setahun corona hidup malaysia terima adiah kes rakyat malsysia meriahnya anak cucu adakah berjaya lolos piala pkp zero,neutral
tahan stay jangan rentas,neutral
baik berdoa maki hamun uji agama baru uji covid belom dajjal kerajaan baru naik tapi uji wabak covid uji netizen rakyat cakap tapi tidak rase kaki kecam cube pegang kerajaan sehari pegang esok lingkup hadapi ujian bersabar melalak tidak jaga family kecam bukan main tapi sop langgar,neutral
semoga berkurang kes baharu,positive
good job malaysia 🇲 🇾 🇲 🇾 keep hard work never ending story government sleeping no news vaccine government,negative
tak payah pertikai sekolah buka sek takut anak kena covid bawa anak melancong tak takut,negative
jangan duduk fikir pasal diri fikir anak tidak sekolah bukan anak saja tidak sekolah anak total lockdown sanggup polis askar penuh jalan perang syukur boleh cari bareng kedai jaga diri tidak keperluan jangan keluar baik ddk rumah total lockdown ramai hilang pekerjaan sggp makan tidak sampai bl harap kerajaan makan banyak duit boleh fikir dibawah,negative
alhamdulillah semoga terun menurun kes,positive
wow tak vaccine coz banyak sembuh minyak ajaib pakai,positive
pru merayu rakyat malaysia jangan salah pilih wakil rakyat kuasa utama politik mata diri merana sampai tidak nampak sepakatan ahli politik membantu rakyat menghapuskan covid menjatuhkan tak habis covid malaysia,negative
many admitted deaths also increase poor things condolences families,negative
kes sembuh atasi kes baharu tahniah frontliners,positive
tidak sampai target tidak kena kuku besi,negative
jangan tengok kes harian tengok kes aktif kes aktif menurun cecah turun sampai alhamdulillah moga kes aktif turun mendadak amin,positive
suggest tat put seal notice front gate need home quarantine neighbors help keep eye case area neighbors husband disahkan wit covid hospitalized wife son placed home self quarantine wife went everyday like nothing happened 😰 😰,negative
nampaknya walaupun pkp longgar tapi berkesan bagus panjangkan pkp moga boleh turun kes zero,positive
either full lockdown open survival game kena deal hospitality suffer guys production factory construction open hell lets suffer together win together,negative
tidak terkawal dibuai mimpi kluster banyak 😭,negative
still waiting till fourth feb go cmco numbers not magically disappear government not prolong bite bullet administer bitter medicine two weeks,negative
bila covid kuasa rakyat tanggung perit,negative
tak payah duduk fikir pasal kes covid duduk fikir cari duit makan esok,negative
perintah kawalan pergerakan boleh bergerak yayy,neutral
jadi bila edaran vaksin lame tidak dengar khabar berita pasal,neutral
kes turun tapi kes naik pkp tidak pkp hentikan perbodohkan rakyat sektor perkilangan perindustrian menyumbang kes tinggi rakyat patuh sop duduk rumah work home menanggung,negative
jadi tak mustahil andai esok lusa kes mendadak naik sehari andai tanpa pkp covid boleh jangkit masa andai percaya kaji balik statistik covid mac kkm berjaya turunkan kes sampai kejadian bila balik semenanjung kes mendadak naik boleh google jadi kkm putuskan nought jangan gagalkan usaha pulang banyak berkorban bukan kerja kkm mauhupun kerajaan penganggur harapkan bantuan kerajaan terima kasih,positive
kes turun baru rentas negeri terima seadanya walaupun hati meronta balik kampung mudah aidilfitri sambut family kampung 😊 😊,positive
turun cepatlah habis pkp tepu otak ddk umah,negative
harap menurun suami teman bersalin bulan 😭,negative
bila tiada pkp jdnya berjangkit pekerja asing kilang parah,negative
raya cina kasi longgar harapnya raya puasa kelonggaran jangan berat sebelah,negative
pkp harap bsabaq hasil swab test sblom pkp rsanya kptsan swab ambk masa jam ambk sakit maki hamun,negative
pkp senang cerita buka sekolah bapa merungut pandemik pergi shoping tidak ikut sop melancong tidak ikut sop boleh malaya,negative
jangan seronok ribu seronok lupa diri balik line clear kes balik letih 😌,negative
zon merah lari zon hijau zon hijau pergi zon merah sampai kiamat tidak settle 😌,negative
disappointed,negative
kes menurun maintain semoga menurun menjelang raya puasa bergema takbir senja menyambut syawal,positive
wallahuank tidak mematuhi arahan jabatan kesihatan negara,positive
nampaknya merampas gelaran naib juara kehilangan pingat selesa mengekalkan kejuaraannya mudah hanya berkongsi pingat gangsa pasukan tercorot berisiko disingkirkan menyertai liga musim sekian laporan liga covid terima kasih,neutral
saringan meriah naik sikit 😬 😬,negative
pkp tidak first pkp tapi bersepah kereta jalan non essential industry kerja bela roza,negative
selagi tak lockdown selagi tak turun cube bayangkan tidak pkp tak sambung comfirm ary ribu lau bebas pkp pkpb tak turun tidak kes ekonomi penting nyawa jangan kes naik jangan salah rakyat laluan cny habis raya puasa tak bkurug rumah tak bolah jmp mk kampung sampai bila hidup,negative
alhamdulillah kes sembuh kes baharu 🤲 🤲,positive
alhamdullil kilang cuti kes menurun semoga harapan boleh rentas negeri rindu anak spm semoga permudahkan,positive
apu harap nurun mih puji tuhan 🙏,neutral
tidak minum air suci parti,negative
baik tidak payah sekolah 😌 penat pper exam 😌,neutral
hujan covid cecah ribu bayangkan habis musim hujan terbaik sobat,negative
mati janji bebas mati bagus covid manusia kematian kesudahan baik hidup asyik dosa kena covid baru taubat,neutral
merampas kejuaraan juara bertahan adakah mengekalkan kejuaraan keputusan esok 😁 😁 😁,neutral
jangan harap kerajaan rakyatpun kena ikut sop tidak ikut sop tidak meningkat kes,negative
banyak bersuka suka tasik beratus naik belum ternmpk,negative
selagi tidak vaksin warga selagi tidak mengaparcaya kes boleh turun vaksin warga pasal malaysia kena sekat takleh rentas negeri faham,negative
pkp kerja gaji jalan tidak pa niaga kedai tutup mkn fikir sikit jaga,negative
case spread bukan keluar jalan holiday kes jadi teruk pekerja warga asing duduk menyewa ramai rumah bukan pekerja tapak binaan saja tapi kerja pasaraya kilang terbaru pekerja mydin usj positif covid jadi shopping beli barang keperluan pegang tidak,negative
sektor tutup tidak dibenar beroperasi,negative
batal perarakan thaipusam merayu meningkatkan risiko jangkitan please,negative
vaksin benda takut taktau effect war mungkin,negative
kerajaan bulan mei kes meningkat sektor pelancongan dibuka,negative
syukur tuhan kes sembuh ramai covid bkurang,positive
covid no parliament no covid parliament think menteri choose,negative
alhamdulillah semoga turun ramai daftar vaksin mysejahtera,positive
kasihankan frontliners keluarga kehidupan mencabar jangan biarkan jadi teruk,negative
cepat kerajaan malaysia buka rentas negeri duduk negara plestin bulan tak boleh rentas negeri tak payah kalot sekat berbulan bulan rentas negeri duit sebulan tak bantuan bpa sen tak,negative
depa target vaksin jaa susah malas tak cakap depa bukan degaq rakyat,negative
kes pkp berbulan kes ribu 😂 normal happy,negative
berhari tunggu,negative
pkp parah tiada pilihan tua takut diri kelurga ekonomi merosot ketepikan fikir pasal keselamatan wang dimana boleh cari tapi kesihatan sukar ubati,negative
happen,neutral
full pkp tanpa kelonggaran minggu first pkp ikhtiar dapatkan rezeki tempoh minggu,neutral
peliknyaa tidak padat penduduk kes covid,negative
tidak tekejut vaksin sampai kes kena gempak sikit,negative
tidak yah extend pkp longgar stupidity overloaded pkp useless,negative
kes sembuh sampai ribu tak vaksin,positive
petanda rentas negeri dibenarkan tidak lama kena bersabar,positive
moga kes sembuh meningkat 💪 💪,positive
bukan pkp nampak kereta penuh anak bini harap kerap rondaan,negative
actions taken far,negative
takpayah update case panik rakyat buka balik jaga diri ketatkan sop,negative
flat graph ribu bahaya mohon jaga sop turun kes belum turun angka sangkut pleasee jangan longgarkan sop naik balik kes,negative
pelik bila kes baru kes sembuh sikit kes baru meningkat kes sembuh meningkat,negative
duduk rumah keluar bila tidak mengaparlu enjoy mkn anak beranak tidak mengaparlu majlis kumpul ramai benarkan jangan kesilapan sayangi keluarga,neutral
pkp teruk kes baharu bertambah angka tunggu angka baru pkp tapi angka tidak ambil peduli,negative
pkp angka naik logik brada data 😂 😂 kembalikan norma lama tanpa pkp fungsi pkp tapi angka naik 😂 😂,negative
banyak saring covid test kilang company test covid tidak lama kurang test doakan terbaik penyakit penawar mati tidak ubat,negative
half baked mco waste time,negative
really not,neutral
kematian harian tiada covid mati 😒 tengok peratus purata kematian,negative
azmin ph perintah kematian covid bertambah banyak perintah kematian sop diubah dilanggar menteri prn hasil menteri tiada hormat tanggung frontliners ubah sop mengikut kesesuaian tapi kena imbas rakyat frontliners 🤷 🏻 ‍ ♂️,negative
esok menurun kesat perbincangan bawa fitnah perbalahan baik diam doakan baik,positive
pkp terbaik,positive
semoga dipermudahkan urusan,positive
kelakar tidak rakyat mesia jaga,negative
mco tidak mco kedai banyak buka bukan keperluan perkhmatan buka,negative
cakap pkp result hang depa result masa hang test cocok tengok bila result gila,negative
cny covid slowdown stat puasa esok dinaik mndadak raya,negative
wajar kerajaan menyarankan klaster kilang rawatanya ditanggung majikan baru majikan menjaga sop ditetapkan kementerian pekerja asing tempatan menjalankan tugas,neutral
takut ribu lex peace bertabaglahh,negative
akibat tidak bersungguh pkp lockdown minggu result berbeza total lockdown buka balik ekonomi virus tidak boleh berjangkit jangan ekonomi sakit,negative
pkp tidak pkp apply miti boleh permit operasi business bos paksa pekerja kerja permit,negative
mati keputusan,negative
lockdown rakyat tertekan ramai tak ley kerja gov,negative
hoben jang hoben leading menewaskan king malaya jdt dihatiku,negative
kadar kematian rendah tidak sampai percent mostly mudah sembuh penyakit macan demam sakit kritikal risiko kematian,neutral
stop blaming others first take care self family go necessary otherwise stay home,neutral
sampai bila habis balik naik sikit saja naik ribu kunk tak percaya,negative
penurunan semoga konsisten menurun kes malapetaka penyakit dihilangkan,positive
alhamdulillah kes terkawal esok boleh rentas daerah,positive
nampak ketupat sakit 😂,neutral
banyak cakap barang china tidak tahan lama tapi covid boleh tahan lama,negative
doakan semoga kes menurun esok zero,positive
risiko buka sekolah walaupun sop ketat kesilapan sekolah tak ikut sop merisikokan jangkitan covid nyawa tengok prn sedia sop ketat tapi trculas sop jangkit mendadak,negative
sekolah jadi buka kes ribu maklum awal kerajaan,negative
helping covid hit target stay home safe guys,negative
mati tidak mengaparnah,negative
kematian tinggi takziah keluarga mangsa moga dijangkiti cepat sembuh moga selamat sihat teutamanya golongan high risks jaga jangan bawa jangkitan keep hygiene tiada keperluan keluar stay home stay safe,neutral
assalammualaikum umat islam bangkit bila rapatkan saf jawapanya swt berkuasa sekelian mahluk langit bumi sekian alam seisinya kuatkan iman lahir batin jasad roh rohani,positive
wow sihat tahniah kes baharu oklah semenanjung 💪 💪 💪,positive
alhamdulillah kes menurun sedih kematian meningkat,negative
raya kena behavee ikut sop,neutral
ertinya pkp tidak pulih buka laluan niaga kerja rentas daerah nageri aktif,negative
maintain ribu bila turun,negative
semoga turun boleh balik kampung berhari raya 😊 😊 😊,positive
comment pelik kes ribu tak turun tup turun ribu 🤣 🤣 🤣 banyak turunnya berbanding seminggu selamat malam dunia tipu,negative
kematian tgginya kes turun kematian menaik,negative
alhamdulli melegakan kes aktif menurun,positive
kilang kluster banyak buka kerja tutup walaupn tak kluster sampai bila weyy,negative
masa kes covid digit doktor china doktor sambut cny,neutral
boleh rentas daerah kes naik balik kemaruk keluar kepasaraya bsr,negative
pkp tapi kes naik pkp tapi sop pkpp kehulu kehilir sektor pekerjaan buka bukan essential buka bila kes turun letih,negative
resign enough incompetent ministers everyone reporter see nowadays no concrete action report concerned,negative
alhamdulillah kes berkurang beransur ansur tidak menurun drastik graf menurun,positive
tiada jalan lockdown good selamat tidak susah,neutral
mencanak naik problem red zon mari,negative
alhamdulillah harap virus hilang muka bumi,positive
alhamdulillah kes positif brkurang kes sembuh banyak semoga banyak sembuh kurang kes,positive
pkp baru jalan komen pkp tidak pkp tak function tak function diri tak pandai jaga sop disalhkan,negative
naik kes harap pkp tidak sambung tidak bezanya 🖕 🏿 🖕 🏿 🖕 🏿 🖕 🏿 🖕 🏿,negative
sesat banyak kereta ramai kesana kesini boleh putus mco pkp tidak wayang,negative
ikut sop kes baru menurun tapi tunggu keputusan kesian frontliners,negative
setahun doa bala jangan main doa kena diri,negative
kena hanya swt pertolongan banyakkan ibadat doa harap dijauhkan bencana wabak izinnya amin,positive
nampak sglintir tidak faham mindset start pkp kes kena turun kbrkesanan pkp hanya nampak minggu pkp minggu kes dsbbkan jngkitan seminggu minggu dmklumkan berpuluh kali tempoh inkubasi covid ramai tidak faham lpastu main hentam,negative
bila full lockdown kilang jangkitan kena kuarantin dibenarkan jalan management duduk push output target supplier kwsan redzone dibenarkan rentas negeri delivery part tunggu level bos positif baru lock nyawa bawahan adakah hanya nyawa ikan bilis,negative
kilang beroperasi walaupun kes positif beratus 😪 alasan tidak dpat surat arahan penutupan 😪,negative
lama tidak lepak kedai minum teh tarik korona ribu mansuh pkp 🤣 🤣 🤣,positive
pkp lusa malam esok mencanak pack bareng lari kampung betambahh,negative
kwsp hanya angka,neutral
confused covid numbers not going total lockdown no cross borders stricter new sop stlii no changes anyone enlighten us,negative
alhamdulillah tahniah semoga berkurangan bila kes 🤲 🤲 🤲 permudahkan balik insha,positive
terima kasih datok doktor peringkasan muka berguna keluar rumah,positive
trending menurun inshaal kekalkan penjarakan sop target raya boleh balik kampung disiplin,positive
total lockdown sebulan pembasmian kuman tempoh sebulan sanitizer kawasan rumah kongsi asrama pekerja pembersihan faham kais makan tapi drastik sikit,neutral
alhamduli kes npak menurun harap pekerjaan rentas negeri lame tidak balik kampung,positive
tidak senarai kluster baru,neutral
semoga menyambut bulan ramadhan ✨ teringin solat tarawih masjid,positive
ramai swab result still pending sampai ribu kelmarin result bawa swab result,neutral
rentas negeri susah risau anak sekolah nt 😓 😓,negative
alhamdulillah moga esok kes baru kurang,positive
kena keluar kerja ladang sawit siapkan kerja meracun ladang bulan puasa boleh rehat 😊 😊 😊,neutral
sedia giliran masuk kiraan redhaa,negative
selamat sayangnya pkp zero tidak pkp zero ekonomi penting tapi kesihatan rakyat terancam tiada maknanya kes meningkat impak ekonomi lockdown cegah merawat,negative
since theres no vaccine underage please close school consider online classes,negative
bunyinya saja pkp tapi buatnya pkpb,negative
alhamdulillah esok turun angka 🤲 🤲 🤲,positive
baik kerajaan arah larangan rentas daerah negeri rentas negara,neutral
kes meningkat hati sebak fikirkan takut pkp sah suami tak boleh kerja kkm ambil tindakan sewajarnya pkp tak pkp rakyat tak kerja hidup merana ramai seramainya tak ikut sop sampai bila jadi tak ikut sop kena tempias,negative
alhamdulillah turun tahniah warga frontliner,positive
bila tidak boleh percaya suka hati gembira kasi turun sedih naik balik kena rakyat permainan politik,negative
masa pkp balik kerja jalan sunyi lengang pkp kali balik kerja nampak meriah 😅,negative
total disahkan cases increase rapidly heading podium guys,negative
jangan kerajaan rakyat hadapi covid tanyalah diri boleh bantu kerajaan putuskan rantaian covid ikut sop ditetapkan diikuti doa usaha tawakal,negative
zaman rasulullah penyakit wabak tapi nabi tidak mengaparintah tutup masjid nabi pergi masjid,neutral
tidak pkp kedai restoran boleh sampai jam malam elok time pkp jam malam elok tidak keluar malam,neutral
allahu akbar meninggkat kes baru semoga menurun covid malaysia,negative
sekolah buka kawan jangan risau pasal anak covid terkawal tahniah kerajaan tahniah kpm,positive
alhamdulillah kes menurun kes sembuh tinggi,positive
always gov pkp fikir sikit fikir pkp tidak alternatif idea asyik pkp bawah makan bejalan golongan banyak duit golongan tidak duit kais pergi makan pergi kais makan acaner please jangan duduk pkp manjang banyak duit senang fikir tidak simpanan perlukan pendaptan suap makan banyak mulut tanggungan jangan sikit pkp,negative
alhamdulillah semoga esok menurun 🤲 🏻,positive
sekatan jalan sop perketat tidak banyak membantu penurunan kes kejap naik kejap turun bukan sikit kadar kenaikan bahaya covid pandai duduk masjid tapi tidak mall pasar malam pasar tidak lama sekolah buka tapi masjid kekal tutup tidak solat jumaat boleh kena denda tapi masjid boleh kena denda pergi masjid jadi jenayah,negative
kes bukan kurang naik dimana kesilpn tak lama puasa sedih knn,negative
elok shopping mall buka kes kurang kerja mco wow wonderful governments gd job meninggal family petapa sedih kerajaan tidak fikir keselamatan rakyat shame,negative
sampai bila terima hapuskan covid adik beradiknya saudara maranya jauhkan covid manusia dibumi 😭 😭 😭 😭 balik kampung jumpa saudara mara setahun tidak ketemu 😭 😭 😭 😭 😭 😭 amin,negative
kes tinggi kiraan baru nampak tidak pkp menurun mendadak rakyat malaysia tengok minggu kedepan tidak turun something wrong,negative
amin kes mnyusut jangan leka patuh sop 👍,positive
sok raya cina naik balik tidak sampai bulan pose kuala statement sok haa tiada terawih mesjid tiada baza ramadhan raya tak ley balik kampung tapi gua rakyat marhaen tak bijak gua harap angka harian bukan rekaan bila angka menurun sbolehya mmbuka sektor yeah gua husnuzon saja tapi ati wa bkata emm game cny huh,negative
pkp tapi kes tinggi punca kilang buka kerja,negative
ramai pnduduk mlysi walaupun ahli politik kaya raya,neutral
kasihan dengar doa,negative
buka tidak pkp muak bosan menyusahkan ajal kena sorok kena tidak covid community pkp bukan mati covid mati kebuluran mati tiada pekerjaan mati tiada pendapatan 😢 😢 😢 😢 😢 😢 😢 😢 😢,negative
alhamdulillah zero moga cepat sembuh berkurang,positive
alhamdulillah moga positif covid berkurangan,positive
tolonglah laksanakan pkp tidak gunanya bersyarat pemulihan lihatlah kesudahanya walaupun turun sikit tapi belum sampai digit negative pru sampai susah hidup merana negative adakah mematuhi sop serius mengabaikan tidak negative kluster jangan bertambah malaysia kluster negative vaksin belum cepatlah selamatkan menghidap covid negative pkpb pkpp ramai tidak asyik keluar jalan mengabaikan sop cepatlah tukar pkp memutuskan rangkaian covid negative tidak urusan please jangan teragak duduk rumah keluar risikonya tinggi 😭 😭 😭 😭 😭 😭,negative
bulan angka kesian rakyat,negative
kematian bukan jadi italy rakyat malaysia sambung cuti sinar lestari sambung cuti perabis buang duit marah kakitangan kerajaan gaji depa berjalan sambung cutii,negative
bila bilangan kes turun bila kes naik komen tidak mengaparnah kena laahh 🤦 ‍ ♂️ 🤦 ‍ ♂️,negative
kes kurang yuh 🤔,positive
jagan buka merentas negeri sabar tunggu anka baru buka terima kasih,neutral
alhamdulillah kes sembuh meningkat harap cepatlah boleh rentas negeri lama tidak jmp,positive
memohon hapuskan virus covid dimuka bumimu sihatkan sakit tiada daya upaya pertolonganmu kuatkan team frontlines team kkm kesihatan mental fizikal,positive
alaa relax saja angka yakinkan rakyat vaksin kang kes susut rakyat tak ambil vaksin beli puak yahudi,negative
pkp zero tidak pkp zero sedara mara boleh berke rumah beramai lepak bawah pokok kawan sekampung jalan penuh kenderaan rentas daerah jalan kampung tak masalah raya rumah 🤣 🤣 🤣,negative
asyik salahkan kerajaan tunding jari baik masa kerajaan rentas negeri pakat katu pergi bercuti bersesak masa seronok tidak fikir bab covid bila covid meruncing pandai baling batu sembunyi tangan bala taala teguran banyak dosa tidak sop mari perbanyakkan ibadat memohon doa taala covid ciptakan beransur hilang dibumi malaysia dunia insha,negative
total lockdown hospital kehabisan katil risaukan,negative
pergi covid balik kampung ooii lama tidak balik kampung,negative
alhamdulillah semoga rahmati menurun kesnya tahniah kkm frontliners rakyat malaysia,positive
alhamdulillah ribu kes sembuh tidak ganda cumanya negeri pkp tidak boleh rentas negeri takut semoga selamat frontliners terjaga,positive
cepat covid turun pencen stress penat jangan sambung kontrak please kkm,negative
tidak pkp kereta sesak,negative
not fauci material grabmart boy,negative
lamaa tak menampak angka alhamdulillah semoga menurun,positive
nampak berjogging berbasikal bermain bola seolahnya malaysia keindahan dinikmati dihirup udara bersih,negative
malaysia mudah lupa bila tukar pkpb kandang,negative
steady pulih,positive
swab test berkurangan kes berkurang banyak industri beroperasi wajib swab test,negative
nampak kilang tapak projek rumah kongsi pekerja penyumbang utama say suggest tutup kilang stop projek tak mengecam test market,neutral
kes tinggi,negative
adakah angka berterusan sampai bulan ramadhan syawal nantikan 😊,neutral
kenaikkan kes banyak kawan keluar gua masuk negara tapi tidak ikut sop happy lipop guys negative kongsi news,negative
kawal rentas negeri sebulan maintain pkp hopefully boleh turun,positive
someone tell still high,negative
pkp zero tak makna nampak,negative
customer mengamuk paksa follow sop report case tidak ikut sop mengamuk,negative
pemimpin umno duduk kalut pru covid mencanak naik fikir rakyat fikir kuasa,negative
yes menang walaupun jadi juara,neutral
untunglar suka mco gaji bulan masuk kerja mereput cari duit 🥰,negative
kesian pkp rumah rosak kotor banjir,negative
believe counts anymora enough enough old counts brought current status going,negative
naik kena turun baru,negative
alhmdlah ramai sembuh moga ramai sembuh kes aktif berkurang amin,positive
turun sambut cny 🤣 🤣 🤣 🤣,negative
biskut sekejab naik sekejab turun esok turun balik lusa naik balik tengok sampai asyik turun naik,negative
kes buka sko tunggu vaksin berkesan baru buka sko risau pasal keselamatan anak covid everywhere anak kena jangkitan kerajaan tanggung come kesian kkm pdrm atm frontliners bertungkus lumus hadapi covid kluster sekolah menyusahkan,negative
baru drop kes sikit next step buka sekolah hadehh riso teman kes naik balik 😌,negative
tidak rentas negeri penting turunkan kes serendah mungkin,positive
boleh tidak kkm asing jangkitan tempatan warganegara bukan warganegara,neutral
roadblock border negeri tak boleh rentas negeri tapi boleh,neutral
prank saja berita palsu knun pkp,negative
yeahh rendah semoga tidak sambung pkp cari mkn,positive
tidak tinggi lama bawah ribu,negative
alhamdulillah kes menurun 🥰 semoga menurun boleh balik kampung puasa raya amin,positive
terbaik sambung takleh rentas negeri sampai okay,negative
uii belum keluar duit kepok kwsp tunggu sakan keluar baru terlepas gua,neutral
pkp pkpb tidak function keluar one need pkp full lockdown year sebok pasal ekonomi something,negative
tak lama rampas taktha,neutral
alhamdulillah menurun kes terbaru 🤲,positive
alhamdulillah tak tidak time musim panas turun kes musim hujan naik kes adakah cuaca salah faktor,negative
kebanyakkan sembuh positif tidak bergeja pkp kematian tak bawah cubalah pkp ketat minggu nyawa rakyat tak berharga kerajaan,negative
kamon gaiss boleh puasa raya family kamon gaiss,neutral
ketibaan vaksin malaysia see wait,neutral
lockdown sakit tapi redha balik kebaikan,neutral
mac sampai penat jaga tapi ramai tidak endah pasal sedih rasenya ramai lupa,negative
cakap tidak situasi golongan terjejas tidak baik berdiam diri mendoakan semoga harungi pendemik baik tidak mengaparlu komen boleh menyakiti hati tidak membantu wang ringgit kudrat baik mendoakan diam baik,neutral
lower daily cases digits digits 😔,negative
alhamdulli harap penurunan kesembuhan sok seterus amin,positive
must joke wave graft reach zero baselina 😅,negative
tahniah zuraini kamal,neutral
alhamdulillah kes sembuh mengatasi kes positive berdoa patuhi sop semoga dilindungi ameen,positive
pkp malaysia tutup sektor tutup sempadan negara tempoh tengok result,neutral
tak kisah rentas negeri rentas daerah 😭 😭 😭 tak klinik sosah atenya,negative
alhamdulillah moga kes sembuh melebihi new kes amin,positive
congrats,positive
kebanyakkan kes kluster kerja gov lockdown factories construction site cases surely go not cases continue high numbers go like stock market,negative
kes meningkat menyeru kerajaan buatlah pkp,negative
sekolah jangan buka kena presura ikut kanak faham sop,negative
alhamdulli 🤲 🤲 semoga menurun myambut ramadhan tak lama,positive
setakat pkp pkpb lockdown tapi tidak kawal cakap pasal ekonomi tutup kali minggu susah tidak diketatkan tutup minggu lockdown tengok kes turun tidak sekejap tutup sekejap buka mangsa rakyat guru polis angota perubatan kesian fikir jangan tukar,negative
maknanya pkp bersesak ikut giliran masuk kedai merajuk 😊,negative
alhamdulillah harap esok turun moga covid cpat lenyap gn,positive
masuk keluar 🤣 🤣 🤣 🤣 game real madrid real betis kornn,neutral
alhamdulillah kes aktif susut,positive
alhamdulillah syukur ramai sembuh seronok tengok kes aktif berkurang no tinggal hang harungi,positive
many teachers quarantined effective teaching,negative
harap jumaat sampai minggu dwpan jangan kes naik menddak menang raya sambut gembira,positive
alhamdulillah maintain kes ribu naik balik jadi habis tidak setel pkp pkpb 😅,positive
stop sekolah kes duduk meningkat,negative
merampas takhta covid padu tidak kalah berderu ipoh 😅 😅 😅 fairus azemee,negative
new cases time total anyway hope reduces fast day day,positive
deaths family loosing loved ones sad rip whoever may,negative
habis dikata,neutral
ribu mco berkesan buka arahan roti canai kesian frontlina duduk menteri duduk tunggu vacinna,negative
buang malaysia okay,neutral
alhaamdulil moga menurun ameenn,positive
allahu semoga permudahkan urusan berdua,positive
alhamdulli kes menurun amin,positive
kacauu elok pkp minggu tes tengok kes kurang menurun gaya kerajaan gaji jalan swasta ramai terkesan gaji menteri staff kena tolak tengok meroyan tidak,negative
hello kerajaan pkan boleh tidak daurat tidak boleh keluar rumah tengok rating naik turun keesokannya,neutral
kes aktif jaga jangan aktif mati covid,negative
alhamdulillah berkurangan insy esok bawah,positive
selamatkan jangkitan covid tidak terdaya,negative
buka baik tidak payah pkp penat pm,negative
raya tidak payah rentas negeri cari penyakit rentas 😩 😩 😩,negative
mntri vvip semeja boleh rakyat sman angkut naik trak tujuan covid tujuan sop beza tubuh badan mntri tubuh badan rakyat sop hanya rakyat geng taksub covid geng taksub sop geng taksub vaksin jawap,negative
yeah start menurun sabar kawan berkerjasama pkpb 🤝,positive
esok bila cabinet mangkuk undi masa pru pandai pilih kes ribu tapi buka sektor ekonomi otak lutut 🤨,negative
kerajaan laksanakan pkp tidak lama try seminggu sekolah dibuka percaya kes digit jadi digit bosan peningkatan kes tinggi kematian minggu kematian rakyat bertabah kerajaan laksanakan pkp hanya seminggu mengekang menghapuskan wabak terkejut kes mungkin bertambah,negative
alhamdulillah semoga cepat sembuh kes menerus turun,positive
sop tak ikut lpastu bising kerajaan tak jlnkan pkp gaya sekoq lembu,negative
honestly think going weeks time took us months get numbers digits,negative
